address,lattitude,longitude
"2110 Market St",37.767378,-122.429344
"993 Potrero",37.757272,-122.40632
"601 Terry A Francois Blvd",37.770135,-122.385801
"11 South Van Ness",37.77415,-122.418402
"101 California St",37.793243,-122.397495
"2000 Post St",37.785078,-122.434745
"600 California St",37.792779,-122.404392
"35 Gilbert St",37.774337,-122.403257
"2355 Post St",37.78397,-122.440218
"801 Stanyan St",37.767202,-122.453432
"2300 Stockton St",37.807107,-122.410072
"1 Market St",37.794191,-122.394409
"100 The Embarcadero",37.794444,-122.391835
"1101 California St",37.791355,-122.412394
"1390 Market St",37.777332,-122.417114
"150 California St",37.793588,-122.398056
"153 Townsend St",37.779602,-122.391181
"1700 California St",37.790504,-122.422345
"185 Berry St",37.775972,-122.392503
"199 Beale St",37.790147,-122.394056
"333 Market St",37.791931,-122.397284
"405 Howard St",37.788948,-122.394895
"410 Townsend St",37.775111,-122.397604
"500 Beach St",37.807207,-122.417277
"501 The Embarcadero",37.79995,-122.398604
"55 Francisco St",37.805308,-122.406049
"580 California St",37.792845,-122.403885
"644 Geary St",37.786789,-122.413768
"75 Howard St",37.791465,-122.391712
"750 Kearny St",37.794997,-122.404456
"900 North Point St",37.806192,-122.422413
"901 Illinois St",37.760264,-122.387094
"5400 Geary Blvd",37.780612,-122.477003
"347 18th Ave",37.781387,-122.47738
"1515 Scott St",37.783953,-122.438111
"2175 Market St",37.766205,-122.429913
"261 Ellis St",37.78493,-122.410102
"721 Filbert St",37.800838,-122.411435
"101 02nd St",37.788063,-122.399371
"101 Lombard St",37.803759,-122.403284
"120 Howard St",37.791226,-122.39275
"123 Mission St",37.792149,-122.393933
"150 Sacramento St",37.794666,-122.397052
"155 Sutter St",37.789661,-122.402956
"1650 Mission St",37.771641,-122.419414
"201 California St",37.793093,-122.398668
"201 Spear St",37.791284,-122.391995
"2186 Geary Blvd",37.783669,-122.43875
"220 Bush St",37.791273,-122.401069
"235 Montgomery St",37.791239,-122.402519
"250 Sacramento St",37.794514,-122.398244
"250 The Embarcadero",37.797017,-122.396118
"255 California St",37.793027,-122.399187
"2550 Powell St",37.808056,-122.41172
"260 Ofarrell St",37.78643,-122.408961
"325 Mason St",37.78635,-122.409795
"333 Bush St",37.790612,-122.402985
"333 Ofarrell St",37.785877,-122.410046
"335 Powell St (really On Geary)",37.787634,-122.40836
"343 Sansome St",37.793508,-122.4013
"345 California St",37.79289,-122.400264
"350 07th Ave",37.781965,-122.464796
"350 Rhode Island St",37.765354,-122.402692
"350 Sacramento St",37.794364,-122.39942
"388 Market St",37.791966,-122.398143
"395 03rd St",37.78275,-122.397136
"400 Howard St",37.789263,-122.395232
"425 Market St",37.791286,-122.398104
"439 Spear St",37.788556,-122.38858
"450 Sutter St",37.789484,-122.407641
"455 Market St",37.791109,-122.398327
"475 Brannan St",37.77872,-122.395415
"50 Beale St",37.791586,-122.396592
"50 California St",37.793742,-122.396851
"50 Fremont St",37.790896,-122.397471
"501 Post St",37.78781,-122.40999
"51 Clay St",37.795291,-122.395949
"55 02nd St",37.788697,-122.400167
"555 Market St",37.789843,-122.399941
"601 Van Ness Ave",37.780913,-122.420523
"610 Harrison St",37.784211,-122.395405
"650 King St",37.770589,-122.401611
"75 Hawthorne St",37.78513,-122.397899
"750 Battery St",37.79811,-122.400513
"1270 Mission St",37.776761,-122.414309
"3500 19th St",37.760252,-122.421627
"955 Sansome St",37.798865,-122.402399
"635 08th St",37.770928,-122.404467
"100 Henry Adams St",37.768401,-122.403931
"40 Rhode Island St",37.769274,-122.40306
"55 Division St",37.769548,-122.403298
"400 Tunnel Ave",37.709423,-122.401398
"525 Jones St",37.785987,-122.413093
"350 03rd St",37.783063,-122.398261
"706 Columbus Ave",37.801358,-122.411197
"60 Spear St",37.792852,-122.394689
"50 Cosmo Place",37.788216,-122.412463
"2100 Webster St",37.790116,-122.431956
"2300 California St",37.78926,-122.43213
"2405 Clay St",37.790643,-122.432532
"3620 California St",37.786576,-122.453962
"3838 California St",37.786036,-122.457464
"3905 Sacramento St",37.786636,-122.45696
"45 Castro St",37.7678,-122.435021
"460 Cherry St",37.786365,-122.456317
"1 Franklin St",37.774258,-122.420836
"110 Franklin St",37.77534,-122.420539
"2351 Mission St",37.759224,-122.418222
"24 Florida St",37.767881,-122.41187
"3115 Mission St",37.74756,-122.4181
"39 Grove St",37.778488,-122.41571
"400 Taylor St",37.786159,-122.410943
"470 Brannan St",37.778896,-122.395927
"525 Market St",37.790276,-122.39939
"555 Jackson St",37.796016,-122.404461
"611 Green St",37.799204,-122.409083
"625 Minna St",37.778102,-122.410645
"655 Minna St",37.777636,-122.411232
"660 Sutter St",37.789049,-122.411063
"665 Sutter St",37.788635,-122.411034
"730 Harrison St",37.781973,-122.398239
"768 Sansome St",37.797265,-122.401547
"8 Leland St",37.711395,-122.403595
"847 Front St",37.799102,-122.400031
"650 Gilman Ave",37.715708,-122.383139
"118 Hawthorne St",37.78417,-122.397422
"1 Shrader St",37.774796,-122.453051
"2235 Hayes St",37.772775,-122.453021
"2250 Hayes St",37.773491,-122.453826
"1 California St",37.793397,-122.396281
"1000 Van Ness Ave",37.784997,-122.420162
"101 Polk St",37.777618,-122.418194
"1062 Front St",37.801086,-122.39975
"1150 Post St",37.786877,-122.420614
"1340 Bush St",37.788975,-122.419211
"1735 The Embarcadero",37.808636,-122.413716
"2 Bay St",37.806646,-122.406227
"350 Pacific Ave",37.797734,-122.401313
"350 Parnassus Ave",37.764336,-122.455876
"356 Harriet St",37.774736,-122.402197
"40 Pier Fifteen",37.801496,-122.398232
"40 Pier Twentyseven",37.804874,-122.401683
"40 Pier Twentythree",37.803099,-122.399996
"50 Broadway",37.799242,-122.398296
